"periodo_evasao";"id_aluno";"codigo_curso";"periodo_ingressao";"codigo_ingressao";"codigo_evasao";"nota_ingressao";"naturalidade";"estado";"tipo_ensino";"cotista";"ano_nascimento";"genero";"matricula"
1996.1;10936912472;15122100;1986.1;1;4;521;NA;NA;NA;NA;1956;"M";186110201
1996.2;65276442487;15121100;1987.1;1;1;598;NA;NA;NA;NA;1969;"F";187110122
1996.2;41922344400;13304100;1988.1;1;1;491;NA;NA;NA;NA;1965;"M";188130397
1996.2;65108140487;14123100;1988.2;1;1;584;NA;NA;NA;NA;1969;"M";188210128
1996.2;78922526491;12205100;1990.1;1;1;768;NA;NA;NA;NA;1970;"F";190120208
1996.2;71464212449;12205100;1990.2;1;1;648;NA;NA;NA;NA;1970;"M";190220215
1996.2;83962182420;12205100;1990.2;1;1;644;NA;NA;NA;NA;1972;"M";190220200
1996.2;89391144420;12205100;1991.1;1;1;682;NA;NA;NA;NA;1972;"M";191120328
1996.2;802129480;12205100;1991.1;1;1;722;NA;NA;NA;NA;1972;"M";191120303
1996.2;2477342410;15122100;1991.2;1;1;496;NA;NA;NA;NA;1973;"M";191210071
1996.2;98054651449;13312110;1992.1;1;1;491;NA;NA;NA;NA;1970;"F";192130661
1996.2;44186150320;21316210;1993.1;1;1;NA;NA;NA;NA;NA;1968;"M";293130402
1996.2;80597998434;15127100;1991.1;1;2;NA;"PATOS";"PB";NA;NA;1972;"M";191110455
1996.2;2779385427;21309210;1995.2;1;2;NA;NA;NA;NA;NA;1900;"M";295230635
1996.2;62151711404;15121100;1990.1;1;4;474;NA;NA;NA;NA;1971;"F";190110204
1997.1;71344144420;15122100;1985.2;1;1;465;NA;NA;NA;NA;1967;"M";185210041
1997.1;63500744591;11128100;1991.1;1;1;674;NA;NA;NA;NA;1973;"M";191110573
1997.1;88615073449;12205100;1991.1;1;1;675;NA;NA;NA;NA;1900;"M";191120003
1997.1;49888773453;13301100;1991.2;1;1;535;NA;NA;NA;NA;1900;"M";191230342
1997.1;2063090408;14123100;1992.1;1;1;683;NA;NA;NA;NA;1974;"M";192110030
1997.1;93216262472;15122100;1993.2;1;1;531;NA;NA;NA;NA;1971;"M";193210292
1997.1;3432125445;15122100;1994.1;1;4;512;NA;NA;NA;NA;1972;"M";194110393
1997.1;67565433420;11124100;1995.1;1;4;491;NA;NA;NA;NA;1969;"M";195110324
1997.2;79713289404;11128100;1990.1;1;1;521;NA;NA;NA;NA;1971;"F";190110708
1997.2;67673201453;15127100;1990.1;1;1;469;NA;NA;NA;NA;1968;"M";190110316
